region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
강남,조선피자몰,플레이더월드 강남점,?,3.7,2,2,1,2 people,3 people,4 people,,,,,
강남,WANNA GO HOME,키이스케이프 우주라이크점,코미디,4.7,4,3,1,3 people,,,,,,,
강남,차이나 타운의 진실,세븐클루스 2호점,스릴러,2.4,2,1,1,2 people,3 people,,,,,,
강남,퀴즈 인 더 노블,넥스트에디션 강남2호점,?,3.2,3,1,1,2 people,3 people,4 people,,,,,
강남,완전한사랑,넥스트에디션 강남점,드라마,3.3,4,1,2,2 people,3 people,,,,,,
강남,판데믹,이스케이프 샾,추리,3.4,4,2,1,2 people,3 people,4 people,,,,,
강남,스토커,비밀의화원 리버타운점,스릴러,3.2,2,2,1,2 people,3 people,,,,,,
강남,개인병원의 비밀,미스터리 룸 이스케이프 강남점,스릴러,2.6,3,3,1,2 people,3 people,4 people,,,,,
강남,카르텔,넥스트에디션 강남점,?,3.4,4,2,3,3 people,4 people,,,,,,
강남,집떡 묘선생,룸즈에이 강남점,판타지,3.6,3,2,1,2 people,3 people,,,,,,
강남,저주받은 산장,코드케이 강남점,스릴러,2.8,2,2,1,2 people,3 people,,,,,,
강남,EP2 : 열쇠공의 이중생활,포인트나인 강남1호점,?,4.5,4,2,3,2 people,,,,,,,
강남,오감,라스트 이스케이프,추리,3.4,3,1,1,2 people,3 people,,,,,,
강남,MEMORY - Episode 1,넥스트에디션 강남점,스릴러,3.4,2,2,3,2 people,3 people,,,,,,
강남,알카트라즈,라스트 이스케이프,범죄,3.3,4,1,2,2 people,3 people,,,,,,
강남,네드,키이스케이프 강남더오름점,?,4.7,4,2,3,3 people,4 people,,,,,,
강남,포츈 테라피,이스케이프 샾,감성,3.5,4,2,1,2 people,3 people,4 people,,,,,
강남,ㄱ찻집,코드이스케이프 가로수길점,추리,3.3,3,2,1,2 people,3 people,,,,,,
강남,야근,넥스트에디션 강남3호점,드라마,3.4,3,2,2,2 people,3 people,4 people,,,,,
강남,환생,세븐클루스 강남1호점,판타지,2.7,3,1,1,2 people,,,,,,,
강남,사라진 백마교도,세븐클루스 강남1호점,스릴러,2.3,2,1,1,2 people,3 people,,,,,,
강남,아는사이,코드이스케이프 가로수길점,로맨스,3.3,3,2,1,2 people,,,,,,,
강남,이상한 나라로 출두요,플레이더월드 강남점,야외,3.8,4,3,3,2 people,,,,,,,
강남,중대장은 오늘 너희에게 무척 실망했다.,넥스트에디션 강남2호점,추리,3.4,5,1,2,2 people,3 people,,,,,,
강남,이웃집 또털어,플레이더월드 강남점,코미디,4.3,5,2,3,4 people,5 people or more,,,,,,
강남,어웨이큰,마스터키 강남프라임점,스릴러,3.6,5,1,1,2 people,3 people,,,,,,
강남,마법소녀,넥스트에디션 강남2호점,모험,3.7,5,2,2,2 people,3 people,4 people,,,,,
강남,영혼의 편지,미스터리 룸 이스케이프 강남점,스릴러,2.5,3,2,2,2 people,,,,,,,
강남,SOS,넥스트에디션 강남5호점,?,3.3,4,2,2,2 people,3 people,,,,,,
강남,EP3 : 영주의 두번째 부탁,포인트나인 강남1호점,?,4,4,1,2,2 people,3 people,,,,,,
강남,안녕하세요? 무엇을 도와드릴까요?,넥스트에디션 강남3호점,판타지,3.3,3,2,3,2 people,3 people,,,,,,
강남,강남목욕탕,비트포비아 강남던전,코미디,4.1,2,2,3,2 people,3 people,,,,,,
강남,제로호텔 (Lite ver.),제로월드 강남점,스릴러,3.6,4,3,1,2 people,3 people,4 people,,,,,
강남,기술자들,코드케이 강남점,잠입,3.2,3,2,2,2 people,3 people,,,,,,
강남,천사소녀 제티,이스케이프 샾,코미디,3.4,3,2,1,2 people,3 people,,,,,,
강남,콜러,제로월드 강남점,공포,4.3,5,2,1,3 people,,,,,,,
강남,후레쉬망고 호스텔,비밀의화원 리버타운점,?,4.2,3,2,1,2 people,3 people,,,,,,
강남,이세계 용사,이스케이프랩,판타지,4.1,3,2,1,2 people,3 people,4 people,,,,,
강남,나비효과,제로월드 강남점,SF,3.6,3,2,1,2 people,3 people,4 people,,,,,
강남,저니,넥스트에디션 강남점,드라마,3,3,2,2,2 people,3 people,,,,,,
강남,감옥탈출,코드케이 강남점,범죄,2.9,3,2,1,2 people,3 people,,,,,,
강남,Do The G,마스터키 강남프라임점,모험,3.5,3,2,3,2 people,3 people,,,,,,
강남,고령화사회,이룸에이트,추리,3.9,4,2,1,2 people,3 people,,,,,,
강남,보헤미아 왕국의 스캔들,셜록홈즈 강남2호점,범죄,2.3,3,2,1,2 people,3 people,,,,,,
강남,미치광이 과학자 연쇄살인범,코드케이 강남점,스릴러,2.6,3,1,1,2 people,3 people,,,,,,
강남,그래도 피망은 먹기 싫단 말이에욧,넥스트에디션 강남5호점,?,3.8,4,3,3,3 people,4 people,,,,,,
강남,헐!,제로월드 강남점,코미디,3.8,4,3,2,3 people,4 people,,,,,,
강남,재즈 인 더 레인,코드이스케이프 가로수길점,음악,3.1,3,2,1,2 people,3 people,,,,,,
강남,커넥트 (Connect),넥스트에디션 강남2호점,SF,3.1,2,2,2,2 people,3 people,,,,,,
강남,원한,세븐클루스 강남1호점,모험,2.3,4,2,2,2 people,3 people,,,,,,
강남,나의 계획은,이룸에이트,?,3.5,3,2,1,2 people,3 people,,,,,,
강남,어시스턴트,플레이더월드 강남점,판타지,3.4,4,2,1,2 people,3 people,4 people,,,,,
강남,첫만남,넥스트에디션 강남3호점,드라마,3.4,4,1,1,2 people,3 people,,,,,,
강남,LUCKY,도어 이스케이프 레드 신논현점,코미디,4.3,4,2,2,3 people,4 people,,,,,,
강남,납치,코드케이 강남점,스릴러,3,2,1,1,2 people,,,,,,,
강남,살인사건 현장-퀸즈파크 저택 살인사건,코드케이 강남점,추리,2.8,2,1,1,2 people,3 people,,,,,,
강남,링,제로월드 강남점,공포,4.5,3,2,2,3 people,4 people,,,,,,
강남,테러리스트,코드케이 강남점,범죄,2.8,3,2,2,2 people,3 people,,,,,,
강남,그림자 없는 상자,"방탈출, 단편선",?,4.6,3,2,1,2 people,3 people,,,,,,
강남,뱅크럽,넥스트에디션 강남5호점,로맨스,3.2,3,2,1,2 people,3 people,4 people,,,,,
강남,도시괴담 Part.1 ‘The Day of Horror’,마스터키 강남점,공포,3.5,3,2,2,2 people,3 people,,,,,,
강남,살랑살랑 연구소,키이스케이프 강남점,감성,3.8,3,2,2,2 people,3 people,,,,,,
강남,토끼와 거북이,마스터키 강남점,코미디,3.2,2,2,3,2 people,,,,,,,
