드림 인베이더,셜록홈즈 대학로점,http://sherlock-holmes.co.kr/attach/theme/15115112601.jpg,-,-,"당신은 비밀스러운 집단에 교육받고 초능력을 부여받은 D-CREW의 멤버이다. 당신은 대형 프로젝트에 투입되게 되었는데, 그것은 바로 가장 유명한 스마트폰 S사의 차세대 휴대폰제작 S프로젝트를 알아내는 것이다. 우리들은 제한된 1시간 내에 S사 간부의 꿈에 들어가서 S프로젝트의 전말을 알아내야만 한다. 과연, 당신은 프로젝트르 성공하고 꿈에서 나올 수 있을 것인가?"
위험한 레시피,셜록홈즈 대학로점,http://sherlock-holmes.co.kr/attach/theme/15235829331.jpg,-,-,"위험한 레시피 연일 매스컴에 보도되는 이곳은 3대 맛집으로까지 소문이 자자한 식당. 이 식당은 3개월전만 해도 폐업설이 돌 정도로 손님이 없고, 장소까지 외딴곳이라 으스스하기 까지 한 곳이었다. 3개월전 식당주인의 각성으로 전국의 갖은 레시피를 수집하여 마침내 전국에서 입소문이 자자한 명소가 되었다고 하는데... 까다로운 미식가로 전국의 유명한 맛집을 순방하는 당신은 이곳 식당의 비밀이 궁금하여 견딜수 없게되고 마침내 맛의 비밀을 파헤쳐보려한다. 과연 이곳 레시피의 비밀은 무엇일까?"
혼:원혼의저주,셜록홈즈 대학로점,http://sherlock-holmes.co.kr/attach/theme/15108152571.jpg,-,-,12년 전 문을 닫은 폐병원. 그 곳에 들어간 사람들중 누구도 살아서 나오지 못했다는 흉흉한 소문에 궁금증이 생긴 당신. 인적이 끊긴 병원에 찾아가보기로 하는데... 병원 입구에서부터 풍기는 오싹하고 음침한 기운. 들어가자마자 갇히고 만다. 당신은 원혼의 저주를 풀고 이 곳에서 빠져나갈 수 있을 것인가?
거짓말,셜록홈즈 동탄점,http://sherlock-holmes.co.kr/attach/theme/15813901681.jpg,감성테마,-,"한적한 오후, 맑은 공기를 마시며 여유롭게 공원에 산책을 나온 당신. 곳곳엔 데이트 하는 연인들, 반려동물과 산책하는 사람들. 이 곳에 혼자 있는 건 당신뿐이었지만 이내 곧 벤치에 앉아 있는 그녀를 만날 수 있었다."
귀신이 산다,셜록홈즈 동탄점,http://sherlock-holmes.co.kr/attach/theme/15813900701.jpg,공포체험,-,커뮤니티 사이트에서 귀신구경이라는 제목의 글을 본 당신. 귀신을 믿진 않지만 호기심이 들어 친구들과 함께 문제의 집을 방문하게 되는데..
사각사각,셜록홈즈 부천점,http://sherlock-holmes.co.kr/attach/theme/15507384891.jpg,-,-,"피노키오의 아버지 제페토. 그는 살아있는 나무인형 제작에 성공했으나 제멋대로 행동하는 피노키오를 실패작이라 여겼다. 실패의 이유를 재료 탓이라 여긴 그는 최상의 재료를 물색하던 중 지하 무덤을 발견하게 되는데… 매장된 지 얼마 안 된 신선한 시체들 중 우수한 신체들을 맞추며 ‘사각사각’ 소리와 함께 미친 듯이 작업을 하는 제페토, 그의 미친 행동을 막아야한다."
호텔:사라진 다이아몬드,셜록홈즈 부천점,http://sherlock-holmes.co.kr/attach/theme/15234169491.jpg,-,-,"설록호텔의 귀중품 대형 다이아몬드 ‘가이아의축복’이 사라졌다. 호텔내부 사람 말고는 출입을 못하는 곳인데.. 과연, 누가 이곳에서 범행을 저질렀을까? 당신은 설록호텔의 귀중품 대형다이아몬드를 훔친 범인을 한시간 안에 찾아내야한다."
지옥의 배달부,셜록홈즈 부천점,http://sherlock-holmes.co.kr/attach/theme/15755979581.jpg,판타지,-,평소 열혈배달부로 소문난 김모군. 아주머니로 부터 아들 생일 날 된장국을 식지 않게 배달해 줄 것을 요청받는다. 고객 이모솔의 집에 방문해보니.... 된장국을 왜 먹지를 못하누ㅠ.ㅠ 배달부의 사명을 위해 지옥까지 쫓아간다! 본격 코믹호러힐링감동대서사시! (지옥의 라이더 테마업데이트 버전입니다!)
프로젝트:노아,셜록홈즈 부천점,http://sherlock-holmes.co.kr/attach/theme/15330165001.jpg,SF드라마,-,전 인류가 멸망의 위기에 처했다. 급격한 인구증가로 인한 자연재해. 전쟁. 이 문제를 해결하기 위해 어떠한 단체에서 프로젝트를 진행했지만 알 수 없는 이유로 중단되게 되었다. 당신은 비밀리에 이 프로젝트를 완료하라는 임무를 받고 해저기지에 잠입하게 되는데.. 과연 당신은 성공적으로 완료할 수 있을것인가?
[NEW]나쁜놈 나쁜놈 나쁜놈,셜록홈즈 부평점,http://sherlock-holmes.co.kr/attach/theme/15446918861.jpg,어드벤처,-,엘파소 최대 갱단 보스 플로이드가 보안관들에게 잡혀 교수형에 처하게됬다. 방금 임무를 마치고 돌아온 조직원 브라이언은 뜻밖의 소식에 교수형 현장으로 달려간다. (나쁜놈 나쁜놈 나쁜놈 문제 리뉴얼 버전입니다)
지하감옥,셜록홈즈 부평점,http://sherlock-holmes.co.kr/attach/theme/14861029631.jpg,-,-,"""......여기는 대체 어디지?"" 정신을 차려보니 끔찍한 지하감옥에 갇혀 있는 당신 ""게으름은....곧....죄악이다..?"" ""제한시간 1시간을...주지..?"" 지하감옥을 거쳐 간 사람들이 남긴 흔적과 단서. 의문은 더해져만 가는데... 1시간 이내에 이 곳을 나가지 않으면 나도 저들처럼 되고 말거야!"
빛과 그림자:화이트의죽음2,셜록홈즈 분당야탑점,http://sherlock-holmes.co.kr/attach/theme/15302596301.jpg,-,-,"옐로우는 감옥에 가고, 사건은 영원히 종결된 것만 같았다. 이미 30대 때 세계적인 작가가 된 화이트, 그의 옆에는 그림자와 같은 존재인 블랙이 있었다. 그는 일평생을 천재작가의 그늘에서 사는데.. 전세계 독자들을 슬프게 만든 화이트의 죽음, 그 뒤로 언젠가부터 블랙의 소식도 사라지게 되고. 블랙은 금세 사람들의 기억에서 지워져 버렸지만 당신은 왠지 이 사건이 화이트의 죽음과 무관하지 않을 거란 생각이 들어, 화이트의 방을 다시 조사하기 시작한다."
무속인 살인사건,셜록홈즈 분당야탑점,http://sherlock-holmes.co.kr/attach/theme/15138466051.jpg,-,-,"TV에 출연할 정도로 유명한 무속인 이 어느 날 싸늘한 시체로 발견? 피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로, 어느 날 자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다. 과연 어떠한 연유로 박무당 은 죽음을 맞이해야 했는가? 빛나는 추리로 진실을 파헤쳐 보자."
반고흐의방,셜록홈즈 분당야탑점,http://sherlock-holmes.co.kr/attach/theme/14861117201.jpg,-,-,"시간여행자인 당신. 우연히 반 고흐의 마지막날로 여행하게 되었다. 자살을 앞둔 고흐와, 관련된 비밀들. 이 모든 것을 풀어 고흐를 자살로 부터 구하지 못한 다면 영영 시간의 늪에 빠질것이다. 자 이제 당신에게 타이머가 주어졌다."
도둑들-문제도둑,셜록홈즈 분당야탑점,http://sherlock-holmes.co.kr/attach/theme/16134366021.jpg,-,-,몽블랑 미술관에 괴도 루팡으로부터 모든 미술품을 훔치겠다는 초대장이 날아왔다. 몇일 뒤 마법을 부린 듯 괴도루팡은 미술품들을 하나씩 훔쳐가고 (본 테마는 도둑들 테마의 문제 리뉴얼 버전 입니다)
